,Random_state,Accuracy,Confusion Matrix for Best RF
0,10,0.9736842105263158,"[[70  2]
 [ 1 41]]"
1,15,0.9736842105263158,"[[70  2]
 [ 1 41]]"
2,20,0.9736842105263158,"[[70  2]
 [ 1 41]]"
3,25,0.9736842105263158,"[[70  2]
 [ 1 41]]"
4,30,0.9736842105263158,"[[70  2]
 [ 1 41]]"
5,35,0.9736842105263158,"[[70  2]
 [ 1 41]]"
6,40,0.9736842105263158,"[[70  2]
 [ 1 41]]"
7,45,0.9649122807017544,"[[69  3]
 [ 1 41]]"
8,50,0.9736842105263158,"[[70  2]
 [ 1 41]]"
9,55,0.9736842105263158,"[[70  2]
 [ 1 41]]"
10,60,0.9736842105263158,"[[70  2]
 [ 1 41]]"
11,65,0.9736842105263158,"[[70  2]
 [ 1 41]]"
12,70,0.9736842105263158,"[[70  2]
 [ 1 41]]"
